;Provincia de ubicación;Clase de establecimiento;Tipo de establecimiento;Entidad;Sector del establecimento;Medicina interna Dotación Normal total;Medicina interna Disponibles;Cirugía Dotación Normal total;Cirugía Disponibles;Ginecología y Obstetricia Dotación Normal total;Ginecología y Obstetricia Disponibles;Pediatría Dotación Normal total;Pediatría Disponibles;Cardiología Dotación Normal total;Cardiología Disponibles;Neumología Dotación Normal total;Neumología Disponibles;Psiquiatría Dotación Normal total;Psiquiatría Disponibles;Traumatología Dotación Normal total;Traumatología Disponibles;Infectología Dotación Normal total;Infectología Disponibles;Urología Dotación Normal total;Urología Disponibles;Gastroenterología Dotación Normal total;Gastroenterología Disponibles;Otros Servicios (Especifique) Dotación Normal total;Otros Servicios (Especifique) Disponibles;Servicios Indiferenciados Dotación Normal total;Servicios Indiferenciados Disponibles;Total Dotación normal;Total Camas Disponibles;Camas de emergencia;Camas de cuidados intensivos adultos;Dias de estada;Días-cama disponibles;Total de egresos hospitalarios;Fallecidos en menos de 48 horas;Fallecidos en más de 48 horas;año
20;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;14;12;2;0;1418;4380;937;0;0;2008
21;AZUAY;Hospital general;Agudo;Universidades y politécnicas ;Privado sin Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;21;17;2;2;1021;6205;563;1;1;2008
22;BOLIVAR;Hospital general;Agudo;Ministerio de Salud Pública;Público;22;18;23;19;22;23;31;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;80;0;0;18850;29200;4211;19;26;2008
23;BOLIVAR;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;5;5;3;3;5;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;2431;5475;854;0;3;2008
24;BOLIVAR;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;2698;5475;842;1;0;2008
25;BOLIVAR;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;2;2;2;2;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;11;11;0;0;1219;4015;239;0;0;2008
26;BOLIVAR;Hospital general;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;5;5;5;5;5;5;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;19;19;0;0;2329;6935;500;0;8;2008
27;CAÑAR;Hospital general;Agudo;Ministerio de Salud Pública;Público;42;40;24;25;40;40;42;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;141;0;4;28263;51465;7746;62;93;2008
28;CAÑAR;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;18;13;7;6;9;10;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;51;4;0;8950;18615;2681;15;16;2008
29;CAÑAR;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;1;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;9;9;0;0;209;3285;105;0;0;2008
30;CAÑAR;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;9;1460;9;0;0;2008
31;CARCHI;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;8;0;0;38;2920;30;0;0;2008
32;CARCHI;Hospital general;Agudo;Ministerio de Salud Pública;Público;39;18;21;14;34;34;26;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;84;0;0;13579;30660;4371;14;15;2008
33;CARCHI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;0;0;7;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;14;0;0;2078;5110;680;0;2;2008
34;CARCHI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;10;8;0;0;11;8;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;19;0;0;3744;6935;1484;5;8;2008
35;COTOPAXI;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;1;1;2;2;2;2;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;8;8;0;0;1019;2920;440;0;1;2008
36;COTOPAXI;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;931;4380;538;0;0;2008
37;COTOPAXI;Hospital general;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;8;5;6;6;12;10;2;2;7;7;0;0;1;1;4;4;0;0;2;2;2;2;0;0;0;0;45;40;0;0;8973;14600;2188;4;18;2008
38;COTOPAXI;Hospital general;Agudo;Ministerio de Salud Pública;Público;32;26;60;31;35;35;40;36;0;0;0;0;0;0;35;21;0;0;0;0;0;0;0;0;0;0;202;149;0;0;35438;54385;9413;50;58;2008
39;COTOPAXI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;8;8;0;0;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;3125;5475;1208;5;3;2008
40;COTOPAXI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;3412;5475;1196;0;3;2008
41;COTOPAXI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;4;4;2;2;6;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;2222;5475;922;0;5;2008
42;COTOPAXI;Hospital básico;Sin tipo hospitales básicos;Privados sin fines de lucro;Privado sin Fines de Lucro;18;18;0;0;0;0;5;5;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;32;32;0;0;7622;11680;1787;2;15;2008
43;COTOPAXI;Hospital básico;Sin tipo hospitales básicos;Ministerio de Defensa Nacional;Público;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;1023;4015;469;0;0;2008
44;CHIMBORAZO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;693;2555;304;0;0;2008
45;CHIMBORAZO;Hospital general;Agudo;Ministerio de Salud Pública;Público;42;42;45;45;46;46;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;164;164;0;0;43618;59860;10921;55;97;2008
46;CHIMBORAZO;Hospital general;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;14;14;13;13;13;13;3;3;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;13;13;73;73;0;0;15288;26645;3165;15;89;2008
47;CHIMBORAZO;Pediátrico;Agudo;Ministerio de Salud Pública;Público;20;20;10;10;0;0;5;5;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;44;44;0;0;3483;16060;743;2;4;2008
48;CHIMBORAZO;Hospital general;Agudo;Ministerio de Defensa Nacional;Público;15;15;5;5;6;6;4;4;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;40;40;0;0;2703;14600;919;2;2;2008
49;CHIMBORAZO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;14;14;6;6;7;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;33;0;0;3930;12045;1153;8;8;2008
50;CHIMBORAZO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;10;10;5;5;4;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;2775;9125;886;1;1;2008
51;CHIMBORAZO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;1651;5475;554;1;1;2008
52;CHIMBORAZO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;0;0;3;3;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;1557;5475;540;1;0;2008
53;CHIMBORAZO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;0;0;793;3650;391;2;0;2008
54;CHIMBORAZO;Hospital general;Agudo;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;15;0;0;2029;5475;1033;0;3;2008
55;LOS RIOS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;2;2;2;2;3;3;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;15;11;3;1;1285;4015;784;0;0;2008
56;EL ORO;Hospital general;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;9;9;5;5;9;9;2;2;2;2;1;1;1;1;2;2;0;0;1;1;2;2;0;0;0;0;35;35;0;0;11535;12775;2503;16;21;2008
57;EL ORO;Hospital general;Agudo;Ministerio de Salud Pública;Público;52;52;33;33;47;46;39;39;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;16;16;220;206;10;3;56543;75190;13262;98;248;2008
58;EL ORO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Defensa Nacional;Público;20;20;10;10;10;10;8;8;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;2;2;60;60;0;0;2846;21900;895;2;0;2008
59;EL ORO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;2;2;7;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;2525;6570;1177;0;0;2008
60;EL ORO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;14;14;14;14;21;21;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;65;65;0;0;13139;23725;4011;0;0;2008
61;EL ORO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;5;5;5;5;7;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;4096;6935;1490;2;5;2008
62;EL ORO;Hospital general;Agudo;Ministerio de Salud Pública;Público;26;26;14;14;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;6890;18250;1854;5;9;2008
63;EL ORO;Gineco-Obstétrico;Agudo;Ministerio de Salud Pública;Público;0;0;0;0;17;17;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;4422;6935;2033;0;0;2008
64;EL ORO;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;12;12;3;3;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;8;25;25;0;0;2220;9125;1008;3;14;2008
65;EL ORO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;4;4;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;368;3650;110;0;0;2008
66;EL ORO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;958;2920;604;3;1;2008
67;EL ORO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;0;1;496;3285;155;0;1;2008
68;EL ORO;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;32;2190;31;0;0;2008
69;ESMERALDAS;Hospital general;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;13;13;8;7;10;11;1;1;3;4;0;0;0;0;3;4;0;0;2;2;2;2;5;2;0;0;47;46;0;0;11420;16790;2916;15;26;2008
70;ESMERALDAS;Hospital general;Agudo;Ministerio de Salud Pública;Público;18;18;28;28;30;30;49;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;114;0;0;30331;41610;9786;71;77;2008
71;ESMERALDAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;8;8;2;2;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;2356;7300;844;3;0;2008
72;ESMERALDAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;13;13;12;7;15;13;28;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;51;0;0;8713;18615;3142;13;15;2008
73;ESMERALDAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;7;6;3;3;6;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;18;0;0;2725;6570;1230;1;0;2008
74;ESMERALDAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;5;4;5;5;10;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;21;0;0;6183;7665;2863;5;3;2008
75;ESMERALDAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;4;4;4;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;2;0;164;5110;94;0;0;2008
76;ESMERALDAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;10;10;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;2146;7300;1178;5;0;2008
77;ESMERALDAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;195;2555;93;0;0;2008
78;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;87;87;87;0;0;18076;31755;6027;18;36;2008
79;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;354;4015;208;0;0;2008
80;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;46;78;52;7;19;8520;18980;1925;5;19;2008
81;GUAYAS;Gineco-Obstétrica;Agudo;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;30;28;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;55;53;0;0;2606;19345;1226;1;1;2008
82;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;5;5;3;3;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;944;5475;650;0;0;2008
83;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;0;0;1194;3650;462;3;3;2008
84;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;805;0;339;0;1;2008
85;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;8;8;4;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;856;4745;262;0;0;2008
86;GUAYAS;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;3;3;6;6;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;2472;5475;1062;1;2;2008
87;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;2;2;1;1;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;232;4745;139;0;0;2008
88;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;1;1;0;0;12;9;1;2;148;3285;84;0;0;2008
89;GUAYAS;Hospital general;Agudo;Ministerio de Defensa Nacional;Público;28;28;28;28;16;16;20;20;0;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;6;6;143;126;8;9;20007;45990;4884;28;74;2008
90;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;14;14;0;0;134;5110;70;0;0;2008
91;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;4;4;6;6;10;10;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;0;0;1388;10220;484;0;0;2008
92;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;6;6;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;9;2;1;263;3285;161;1;0;2008
93;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;55;0;0;2008
94;GUAYAS;Pediatría;Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;730;0;0;0;2008
95;GUAYAS;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;23;23;4;4;1;1;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;37;4;8;2963;13505;1046;0;3;2008
96;GUAYAS;Neumológico (Antituberculoso);Crónico;Ministerio de Salud Pública;Público;0;0;4;4;0;0;0;0;0;0;215;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;219;0;0;65233;79935;1702;25;152;2008
97;GUAYAS;Infectología;Crónico;Ministerio de Salud Pública;Público;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80;0;0;0;0;0;0;55;55;135;135;0;0;39798;49275;2110;37;200;2008
98;GUAYAS;Pediátrico;Agudo;Junta Beneficencia de Guayaquil;Público;0;0;56;56;0;0;154;154;22;22;0;0;0;0;21;21;0;0;0;0;0;0;0;0;14;14;364;267;18;79;131468;97455;29178;165;167;2008
99;GUAYAS;Pediátrico;Agudo;Otros públicos ;Público;132;132;19;19;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;166;0;4;26108;60590;5980;11;26;2008
100;GUAYAS;Hospital general;Agudo;Ministerio de Salud Pública;Público;61;61;67;67;45;45;70;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;233;0;8;69055;85045;15099;74;406;2008
101;GUAYAS;Hospital general;Agudo;Junta Beneficencia de Guayaquil;Público;241;241;135;135;28;28;32;32;54;54;0;0;0;0;54;54;0;0;22;22;0;0;0;0;87;87;805;665;75;65;222693;242725;20767;647;1418;2008
102;GUAYAS;Oncológico;Crónico;Sociedad de Lucha Contra el Cáncer ;Público;42;42;41;41;0;0;35;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;35;7;7;160;160;0;0;31211;58400;5750;73;106;2008
